always	highest	bid	sell
0.070810	0.072546	0.025200	0.029000
0.077128	0.078874	0.025200	0.029000
0.097055	0.098833	0.025200	0.036600
0.094104	0.094782	0.025200	0.036600
0.078253	0.078922	0.025200	0.036600
0.050866	0.066065	0.025200	0.036600
0.055385	0.063698	0.025200	0.036600
0.070055	0.078483	0.025200	0.036600
0.089473	0.089160	0.025200	0.036600
0.069472	0.069165	0.018200	0.036600
0.059309	0.059005	0.018200	0.036600
0.065241	0.064935	0.018200	0.036600
0.075255	0.074946	0.018200	0.036600
0.089317	0.089004	0.018200	0.036600
0.109916	0.109597	0.018200	0.036600
0.072716	0.075851	0.024600	0.036600
0.064885	0.075851	0.024600	0.036600
0.059561	0.063521	0.024600	0.036600
0.067296	0.071285	0.024600	0.036600
0.068790	0.072785	0.024600	0.036600
0.098502	0.102608	0.024600	0.036600
0.097513	0.101616	0.024600	0.036600
0.089282	0.093354	0.024600	0.036600
0.090148	0.095334	0.036500	0.024300
0.095072	0.111908	0.018200	0.030600
0.097614	0.111908	0.018200	0.030600
0.081370	0.107147	0.016600	0.030600
0.087533	0.106229	0.016600	0.030600
0.101394	0.125145	0.016600	0.030600
0.083470	0.107951	0.010100	0.030600
0.076250	0.083187	0.022000	0.030600
0.097775	0.104851	0.022000	0.030600
0.080431	0.104851	0.022000	0.030600
0.031652	0.084356	0.009900	0.030600
0.022965	0.078285	0.009900	0.030600
-0.029019	0.046260	0.009900	0.030600
-0.009114	0.067708	0.009900	0.030600
-0.011095	0.065573	0.009900	0.030600
-0.020758	0.047458	0.009900	0.030600
0.000500	0.064846	0.009900	0.030600
-0.015570	0.032585	0.003600	0.027300
-0.009270	0.038082	-0.064400	0.038300
-0.019177	0.032585	0.003600	0.027300
-0.037241	0.032585	0.003600	0.027300
-0.012699	0.044141	0.013800	0.027300
-0.002150	0.082670	0.013800	0.027300
-0.009234	0.082670	0.013800	0.027300
0.014247	0.100460	0.013800	0.031900
0.027630	0.100460	0.013800	0.031900
0.011996	0.081137	-0.064400	0.038300
0.016087	0.081877	0.013800	0.031900
0.024926	0.081877	0.013800	0.031900
0.038251	0.081877	0.013800	0.031900
0.023084	0.081137	-0.064400	0.038300
0.032855	0.081137	-0.064400	0.038300
0.111361	0.116858	0.042100	0.038300
0.100470	0.105913	0.042100	0.038300
0.078680	0.084016	0.042100	0.038300
0.082063	0.087415	0.042100	0.038300
0.082822	0.088178	0.042100	0.038300
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
