always	highest	bid	sell
0.070597	0.106426	-0.001100	0.046300
0.058071	0.086381	-0.001100	0.046300
0.074048	0.102785	-0.001100	0.046300
0.053928	0.064828	0.014400	0.050200
0.024877	0.036729	-0.010700	0.046300
-0.008718	0.038388	-0.010700	0.046300
0.009422	0.057390	-0.010700	0.046300
-0.003902	0.043433	-0.010700	0.046300
-0.008674	0.040936	-0.010700	0.021000
0.010607	0.047276	-0.010700	0.046300
0.002616	0.031370	-0.017100	0.021000
0.001011	0.031370	-0.017100	0.021000
0.007518	0.032194	-0.017100	0.046300
0.024885	0.047677	-0.017100	0.046300
0.001440	0.019708	-0.021200	-0.001400
-0.009597	0.033773	-0.021200	0.016300
-0.012173	0.033773	-0.021200	0.016300
-0.031238	0.033773	-0.021200	0.016300
-0.035304	0.033773	-0.021200	0.016300
-0.000619	0.044624	-0.011700	0.016300
0.007446	0.042430	-0.011700	0.016300
0.010065	0.045140	-0.011700	0.016300
0.004813	0.039706	-0.011700	0.016300
0.000645	0.046011	-0.021200	0.016300
-0.021634	0.042657	-0.021200	0.016300
0.009228	0.047525	-0.006600	0.005900
0.009733	0.048049	-0.006600	0.005900
0.031139	0.070267	-0.006600	0.005900
0.011596	0.066516	-0.021200	0.016300
0.010263	0.066516	-0.021200	0.016300
0.031774	0.066516	-0.021200	0.016300
0.029091	0.066516	-0.021200	0.016300
0.022093	0.066516	-0.021200	0.016300
0.019431	0.066516	-0.021200	0.016300
0.012848	0.040575	-0.011700	-0.004800
-0.011563	0.044945	-0.011700	0.001200
-0.012551	0.043900	-0.011700	0.001200
-0.008404	0.048285	-0.011700	0.001200
-0.006813	0.048285	-0.011700	0.001200
0.017999	0.048285	-0.011700	0.001200
0.015071	0.050394	-0.013400	0.011700
0.007255	0.050394	-0.013400	0.011700
0.016622	0.051999	-0.013400	0.015800
0.011349	0.050394	-0.013400	0.011700
0.015619	0.050394	-0.013400	0.011700
0.009785	0.024368	-0.004800	0.011700
0.011906	0.020128	0.027300	0.021000
0.006138	0.014313	0.027300	0.021000
-0.000700	0.007419	0.027300	0.021000
-0.028100	0.000000	-0.028000	-0.028000
-0.024001	0.000000	-0.028000	-0.028000
-0.020390	0.000551	-0.013400	0.011700
-0.005989	0.015260	-0.013400	0.011700
-0.004395	0.015080	-0.025000	-0.011800
0.010742	0.022662	-0.013400	0.013900
0.022181	0.034036	-0.025000	0.029000
0.013902	0.034036	-0.025000	0.029000
0.021709	0.034036	-0.025000	0.029000
0.021197	0.034036	-0.025000	0.029000
0.025265	0.034036	-0.025000	0.029000
0.020273	0.034036	-0.025000	0.029000
0.014152	0.034036	-0.025000	0.029000
0.013645	0.034036	-0.025000	0.029000
0.027231	0.034036	-0.025000	0.029000
0.024381	0.034036	-0.025000	0.029000
0.070810	0.072546	0.025200	0.029000
0.077128	0.078874	0.025200	0.029000
0.097055	0.098833	0.025200	0.036600
0.094104	0.094782	0.025200	0.036600
0.078253	0.078922	0.025200	0.036600
0.050866	0.066065	0.025200	0.036600
0.055385	0.063698	0.025200	0.036600
0.070055	0.078483	0.025200	0.036600
0.089473	0.089160	0.025200	0.036600
0.069472	0.069165	0.018200	0.036600
0.059309	0.059005	0.018200	0.036600
0.065241	0.064935	0.018200	0.036600
0.075255	0.074946	0.018200	0.036600
0.089317	0.089004	0.018200	0.036600
0.109916	0.109597	0.018200	0.036600
0.072716	0.075851	0.024600	0.036600
0.064885	0.075851	0.024600	0.036600
0.059561	0.063521	0.024600	0.036600
0.067296	0.071285	0.024600	0.036600
0.068790	0.072785	0.024600	0.036600
0.098502	0.102608	0.024600	0.036600
0.097513	0.101616	0.024600	0.036600
0.089282	0.093354	0.024600	0.036600
0.090148	0.095334	0.036500	0.024300
0.095072	0.111908	0.018200	0.030600
0.097614	0.111908	0.018200	0.030600
0.081370	0.107147	0.016600	0.030600
0.087533	0.106229	0.016600	0.030600
0.101394	0.125145	0.016600	0.030600
0.083470	0.107951	0.010100	0.030600
0.076250	0.083187	0.022000	0.030600
0.097775	0.104851	0.022000	0.030600
0.080431	0.104851	0.022000	0.030600
0.031652	0.084356	0.009900	0.030600
0.022965	0.078285	0.009900	0.030600
-0.029019	0.046260	0.009900	0.030600
-0.009114	0.067708	0.009900	0.030600
-0.011095	0.065573	0.009900	0.030600
-0.020758	0.047458	0.009900	0.030600
0.000500	0.064846	0.009900	0.030600
-0.015570	0.032585	0.003600	0.027300
-0.009270	0.038082	-0.064400	0.038300
-0.019177	0.032585	0.003600	0.027300
-0.037241	0.032585	0.003600	0.027300
-0.012699	0.044141	0.013800	0.027300
-0.002150	0.082670	0.013800	0.027300
-0.009234	0.082670	0.013800	0.027300
0.014247	0.100460	0.013800	0.031900
0.027630	0.100460	0.013800	0.031900
0.011996	0.081137	-0.064400	0.038300
0.016087	0.081877	0.013800	0.031900
0.024926	0.081877	0.013800	0.031900
0.038251	0.081877	0.013800	0.031900
0.023084	0.081137	-0.064400	0.038300
0.032855	0.081137	-0.064400	0.038300
0.111361	0.116858	0.042100	0.038300
