up_down_5	up_down_4	up_down_3	up_down_highest_in_week	highest_2_week	chg
0.024600	0.030600	0.031100	0.025400	0.046300	0.019000
0.036500	0.037000	0.031400	0.019500	0.040400	0.005900
0.055500	0.049900	0.043400	0.012000	0.030800	0.018500
0.050900	0.044400	0.025400	0.020900	0.036800	0.001000
0.044400	0.025400	0.019500	0.020900	0.055200	0.000000
0.018200	0.012300	-0.006200	0.028100	0.062400	-0.007200
0.016600	-0.001900	-0.002900	0.023800	0.058100	0.004300
0.012000	0.011000	0.011000	0.018800	0.044200	0.013900
0.020900	0.020900	0.028100	0.015900	0.034300	0.009900
0.010100	0.017300	0.013000	0.045100	0.045100	-0.010800
0.022000	0.017700	0.003800	0.040400	0.061400	0.004700
0.023300	0.009400	-0.000500	0.034800	0.055800	0.005600
0.018800	0.008900	0.019700	0.025400	0.046400	0.009400
0.015900	0.026700	0.022000	0.018400	0.039400	0.007000
0.045100	0.040400	0.034800	-0.003200	0.042400	0.018400
0.037200	0.031600	0.022200	0.024200	0.045600	-0.003200
0.024300	0.014900	0.007900	0.031500	0.052900	-0.007300
0.009900	0.002900	-0.015500	0.036500	0.057900	-0.005000
0.010200	-0.008200	-0.005000	0.029200	0.054700	0.007300
-0.006800	-0.003600	0.003700	0.049200	0.053300	0.001400
0.024200	0.031500	0.036500	0.021400	0.025500	0.027800
0.030600	0.035600	0.028300	0.022300	0.040800	-0.000900
0.028100	0.020800	0.019400	0.029800	0.048300	-0.007500
0.027500	0.026100	-0.001700	0.027200	0.041600	0.006700
0.049200	0.021400	0.022300	0.004100	0.018500	0.023100
0.017500	0.018400	0.025900	0.008000	0.022400	-0.003900
0.003600	0.011100	0.004400	0.037200	0.037200	-0.014800
0.016800	0.010100	-0.013000	0.031500	0.031500	0.005700
0.027200	0.004100	0.008000	0.014400	0.014400	0.017100
0.001500	0.005400	0.020200	0.017000	0.017000	-0.002600
0.002400	0.017200	0.011500	0.020000	0.020000	-0.003000
0.037200	0.031500	0.014400	-0.015800	-0.015800	0.020000
0.015700	-0.001400	0.001200	-0.038900	-0.024000	-0.015800
-0.041200	-0.038600	-0.035600	0.000900	0.015800	-0.039800
-0.037700	-0.034700	-0.054700	-0.009200	0.014900	0.000900
-0.064400	-0.084400	-0.068600	0.038200	0.070000	-0.029700
-0.063900	-0.048100	-0.008300	0.024100	0.049500	0.020500
-0.050100	-0.010300	-0.011200	0.026100	0.068100	-0.002000
-0.027300	-0.028200	0.001500	0.043100	0.085100	-0.017000
-0.011600	0.018100	-0.002400	0.026500	0.068500	0.016600
0.038200	0.017700	0.019700	0.031800	0.052500	0.020100
0.024100	0.026100	0.043100	0.025400	0.054800	0.006400
0.016100	0.033100	0.016500	0.052000	0.077800	-0.010000
0.013800	-0.002800	-0.022900	0.071300	0.102200	-0.019300
0.015000	-0.005100	-0.011500	0.053500	0.084400	0.017800
0.031800	0.025400	0.035400	0.020700	0.047500	0.036900
0.018300	0.028300	0.047600	0.036500	0.054600	-0.007100
0.052000	0.071300	0.053500	0.025800	0.030900	0.023700
0.069500	0.051700	0.014800	0.032700	0.032700	-0.001800
0.042100	0.005200	0.012300	0.042300	0.042300	-0.009600
0.020700	0.027800	0.004100	0.026800	0.026800	0.015500
0.036500	0.012800	0.014600	0.018100	0.018100	0.008700
0.025800	0.027600	0.037200	0.005100	0.017900	0.013000
0.032700	0.042300	0.026800	-0.003000	0.014900	0.005100
0.035900	0.020400	0.011700	0.003400	0.021300	-0.006400
0.023800	0.015100	0.002100	-0.002500	0.017900	0.003400
0.005300	-0.007700	-0.012800	0.009400	0.027700	-0.009800
-0.027500	-0.032600	-0.026200	0.045400	0.047500	-0.019800
-0.008900	-0.002500	-0.005900	0.023800	0.023800	0.023700
-0.003800	-0.007200	0.002600	0.025100	0.025100	-0.001300
-0.002500	0.007300	0.027100	0.020400	0.020400	0.004700
0.009400	0.029200	0.005500	0.018300	0.018300	0.002100
0.045400	0.021700	0.023000	0.002100	0.002100	0.016200
0.023800	0.025100	0.020400	0.000000	0.000000	0.002100
